56238-6173-528      2.3091 1.91039 0.00370 15.66 0.84 52.24 0.63 1.306 1.601 1.177 1.759 0.63 0.18
56238-6173-528      2.3091 2.21620 0.00380 14.75 1.34 104.74 0.65 1.328 4.342 0.838 3.956 0.40 0.00
56268-6177-595      2.4979 2.11727 0.00113 13.96 0.32 58.93 0.18 0.280 0.599 0.152 0.367 0.23 0.61
56268-6177-595      2.4979 1.99557 0.00263 13.99 0.67 39.18 0.43 0.261 0.968 0.148 0.725 0.41 0.00
55810-4354-646      2.3280 1.90383 0.00134 13.89 0.35 48.29 0.23 0.230 0.515 0.125 0.314 0.30 0.36
55810-4354-646      2.3280 1.94502 0.00355 13.77 0.96 55.32 0.61 0.187 1.387 0.099 0.980 0.31 0.00
56565-6498-177      2.3770 1.95293 0.00380 14.52 1.10 49.38 0.64 0.636 1.921 0.418 1.781 0.29 0.32
56268-6177-608      3.7120 3.33339 0.00063 14.49 0.10 75.29 0.08 0.763 0.378 0.460 0.284 1.00 0.00
56268-6177-608      3.7120 3.51346 0.00163 14.21 0.28 96.87 0.20 0.530 0.939 0.289 0.586 0.76 0.00
56268-6177-608      3.7120 3.22375 0.00499 14.06 0.98 62.16 0.60 0.344 1.880 0.189 1.506 0.28 0.00
55477-4216-312      2.1630 1.83175 0.00092 14.27 0.28 61.14 0.17 0.491 0.717 0.284 0.493 0.00 1.00
55477-4216-312      2.1630 1.84979 0.00024 14.14 0.10 64.38 0.04 0.404 0.232 0.225 0.145 0.18 0.82
55477-4216-312      2.1630 2.03808 0.00124 14.15 0.35 98.23 0.22 0.470 1.045 0.253 0.636 1.00 0.00
55477-4216-312      2.1630 1.75231 0.00049 13.91 0.14 46.86 0.09 0.239 0.221 0.131 0.135 1.00 0.00
55477-4216-312      2.1630 2.03162 0.00158 13.92 0.45 97.07 0.28 0.292 0.933 0.153 0.536 0.58 0.00
55477-4216-312      2.1630 2.04797 0.00288 13.88 0.82 100.01 0.52 0.269 1.835 0.140 1.158 0.28 0.00
56190-6182-652      2.5590 2.11672 0.00386 13.71 0.99 50.19 0.62 0.163 1.290 0.086 0.926 0.23 0.33
55499-4296-364      2.3541 1.88646 0.00384 13.99 1.16 41.49 0.65 0.266 1.396 0.150 1.163 0.24 0.26
56566-7134-594      2.1648 1.76243 0.00364 14.37 1.16 48.40 0.65 0.520 1.905 0.323 1.741 0.29 0.31
56544-6877-564      2.1801 1.98619 0.00000 14.30 0.00 86.02 0.00 0.593 0.000 0.333 0.000 1.00 0.00
56544-6877-564      2.1801 2.12517 0.00015 14.17 0.04 110.86 0.03 0.513 0.123 0.275 0.070 1.00 0.00
56544-6877-564      2.1801 1.98073 0.00115 13.98 0.34 85.04 0.21 0.323 0.733 0.171 0.426 1.00 0.00
56544-6877-564      2.1801 1.88318 0.00139 13.83 0.44 67.60 0.25 0.222 0.713 0.117 0.417 0.85 0.00
56544-6877-564      2.1801 2.06312 0.00152 13.77 0.43 99.77 0.27 0.215 0.664 0.111 0.364 0.57 0.00
56544-6877-564      2.1801 1.74589 0.00194 13.69 0.59 43.05 0.35 0.150 0.670 0.080 0.416 0.31 0.00
